nome;app_h;app_r;dhn_alt;dhn_lum;dhn_geo;erro_nm;ordem;pag;dist;status;nota
Farol de Pedra Seca;830;16;16;16;13;51.6;1236 G 0188;89;0.0;GRAVE;
Farol de Cabo Branco;806;27;46;27;17;44.9;1256 G 0190;90;0.0;GRAVE;
Farol de São Roque;810;21;50;21;17;44.5;1132 G 0172;85;0.0;GRAVE;
Farol de Santo Agostinho;912;22;91;22;22;43.0;1328 G 0212;92;0.0;GRAVE;
Farol de Maceió;920;43;113;;;41.0;1356 G 0219;94;0.0;GRAVE;
Farol de Natal;811;39;87;39;22;39.8;1176 G 0177;87;2.68;GRAVE;
Farol de Pedra do Sal;515;15;15;10;12;39.1;828 G 0102;75;0.0;GRAVE;
Farol de Macaé;1;28;156;28;22;23.9;2160 G 0346;137;0.0;GRAVE;
Farol de Fernando de Noronha;58;30;329;;;21.9;1112 G 0138;84;0.44;GRAVE;
Farol de Coruripe;223;14;20;14;13;21.8;1396 G 0226;95;0.0;GRAVE;
Farol de Caeté;214;15;20;15;14;21.1;484 G 0066;65;0.0;GRAVE;
Farol de Castelhanos;1;27;121;27;25;20.8;2716 G 0408;169;0.0;GRAVE;
Farol de Moela;1;40;110;40;39;19.7;3288 G 0496;198;0.0;GRAVE;
Farol de Tramandaí;201;23;25;23;13;19.1;3980 G 0607.4;227;0.0;GRAVE;
Farol de Rasa;1;51;101;51;45;18.8;2420 G 0360;143;0.0;GRAVE;
Farol de Arvoredo;1;24;90;24;22;17.7;3880 G 0562;222;0.0;GRAVE;
Farol de Apeú;215;15;41;15;17;17.2;488 G 0070;65;0.0;GRAVE;
Farol de Ilha da Paz;1;26;84;26;23;17.0;3700 G 0540;214;0.0;GRAVE;
Farol de Juatinga;29;29;175;17;29;16.3;3156 G 0458;193;0.0;GRAVE;
Farol de Santa Marta;1;46;74;46;39;15.8;3956 G 0600;226;0.0;GRAVE;
Farol de Conceição;171;16;34;16;17;15.1;3492 G 0506;202;0.0;GRAVE;
Farol de Abrolhos;1;51;60;51;19;14.0;1848 G 0306;115;0.0;GRAVE;
Farol de Escalvada;140;15;27;15;14;13.8;2088 G 0330;128;0.0;GRAVE;
Farol de Rio Doce;1;18;46;18;17;12.0;1860 G 0316;116;0.0;GRAVE;
Farol de Jericoacoara;21;19;101;19;25;11.4;860 G 0110;76;0.0;GRAVE;
Farol de Sergipe;1;39;41;39;16;11.2;1428 G 0230;97;0.0;GRAVE;
Farol de Conchas;182;25;67;25;19;11.0;3512 G 0520;203;0.0;GRAVE;
Farol da Vitória;23;23;101;16;23;10.9;3168 G 0466;194;0.0;GRAVE;
Farol de Cabo Frio;150;49;49;9;18;10.9;2200 G 0350;140;0.98;REVISAR;"app aponta p/ sinal vizinho; farol real é nº2400 (ALT 140 m) a 8 NM ao sul"
Farol de Ilhéus;120;23;35;23;16;10.5;1808 G 0288;113;0.0;GRAVE;
Farol da Barra da Tijuca;20;15;87;11;7;10.1;2702 G 0402;168;4.7;REVISAR;casou com Ilha Pontuda a 4,7 NM — provável erro de posição no app
Farol de Porto de Pedras;22;24;90;24;22;10.0;1352 G 0218;94;0.0;ALTO;
Farol da Ilha Pontuda;22;7;87;11;7;9.6;2702 G 0402;168;0.0;ALTO;
Farol de Queimada Grande;21;21;83;23;21;9.4;3500 G 0512;203;0.0;ALTO;
Farol de Torres;23;23;85;23;22;9.2;3972 G 0604;226;0.0;ALTO;
Farol de Maricás;21;21;80;16;21;9.1;2416 G 0358;143;0.0;ALTO;
Farol de Paracuru;21;27;80;27;21;9.1;882 G 0117;77;0.32;ALTO;
Farol de Santa Luzia;1;34;29;34;12;9.1;1980 G 0320;123;0.0;ALTO;
Farol de Ponta Negra;20;20;71;21;20;8.2;2412 G 0356;142;0.0;ALTO;
Farol de Calcanhar;22;38;74;38;21;8.1;1100 G 0164;83;0.0;ALTO;
Farol de Lençóis Grandes;21;17;72;17;20;8.1;806 G 0093;74;0.0;ALTO;
Farol de Ponta do Boi;23;22;70;22;20;7.4;3176 G 0484;194;0.0;ALTO;
Farol de Orange;110;18;50;18;18;7.1;1 G 0000.5;37;0.06;ALTO;
Farol de Ponta Cajuais;21;19;64;19;21;7.1;944 G 0148;81;0.0;ALTO;
Farol de Porto Seguro;120;26;57;26;21;7.1;1816 G 0296;114;0.0;ALTO;
Farol de Ponta Grossa;19;19;60;16;19;7.0;3170 G 0468;194;0.0;ALTO;
Farol do Mucuripe;72;27;134;43;27;6.4;936 G 0122;80;0.0;ALTO;
Farol de Rocas;51;13;18;13;12;6.0;1104 G 0146;83;0.0;ALTO;
Farol de Guaratiba;16;16;42;18;16;5.2;2704 G 0404;168;0.0;ALTO;
Farol de Laje de Santos;15;15;38;14;15;4.8;3284 G 0495;198;0.0;MEDIO;
Farol de Preguiças;21;43;46;43;19;4.6;808 G 0094;74;0.0;MEDIO;
Farol de Aracati;16;12;34;14;16;3.8;940 G 0126;80;0.0;MEDIO;
Farol de Salinópolis;93;46;61;46;21;3.8;480 G 0064;65;0.0;MEDIO;
Farol de Chuí;23;46;43;46;16;3.7;4660 G 0644;246;0.23;MEDIO;
Farol de São João;21;20;38;20;17;3.3;496 G 0072;66;0.0;MEDIO;
Farol de Mostardas;23;40;39;40;34;3.0;4000 G 0614;228;0.0;MEDIO;
Farol de Olinda;66;46;90;46;22;2.8;1272 G 0202;90;0.0;MEDIO;
Farol de Alcatrazes;13;13;24;15;13;2.7;3268 G 0490;197;0.0;MEDIO;
Farol de Marambaia;13;13;24;18;13;2.7;2712 G 0406;168;0.0;MEDIO;
Farol de Mundaú;21;14;33;14;16;2.4;868 G 0116;76;0.0;MEDIO;
Farol de Bom Abrigo;170;28;146;28;23;2.0;3508 G 0516;203;0.0;MEDIO;
Farol de São Mateus;22;15;14;15;11;2.0;1852 G 0312;115;0.0;MEDIO;
Farol Santo Alberto;32;17;42;20;16;1.7;984 G 0162;83;0.02;MEDIO;
Farol da Ilha do Mel;54;27;67;25;19;1.7;3512 G 0520;203;0.61;MEDIO;
Farol de Trindade;58;28;46;4;17;1.7;2084 G 0315.1;128;0.68;MEDIO;
Farol de São Tomé;40;49;49;40;17;1.4;2156 G 0342;136;0.0;MEDIO;
Farol de Belmonte;43;23;36;21;16;1.2;1812 G 0292;113;0.28;MEDIO;
Farol de São Pedro e São Paulo;35;20;29;15;14;1.1;1106 G 0130;83;0.76;MEDIO;
Farol de Itapuã;22;15;24;15;14;0.4;1460 G 0238;98;0.0;MEDIO;
Farol de Tamandaré;25;14;27;18;14;0.4;1348 G 0214;94;0.13;MEDIO;
Farol Capão da Marca de Fora;42;17;42;17;16;0.0;4002 G 0631.3;228;0.0;OK;
Farol da Barra (Rio Grande);32;30;32;30;15;0.0;4008 G 0620;228;0.0;OK;
Farol da Ponta da Baleia;19;12;19;14;12;0.0;1836 G 0302;114;0.17;OK;
